   tot%      tot#     self%     self#  function
0.00002        32   0.00000         3                                          "pseudoinverse"
0.00002        26   0.00000         1                                            "fast.svd"
0.00002        24   0.00001        17                                              "positive.svd"
0.00002        23   0.00000         6                                                "svd"
0.00000         5   0.00000         0                                                  "La.svd"
0.00000         1   0.00000         0                                                  "t"
0.00000         1   0.00000         0                                            "array"
0.00000         5   0.00000         0                                      "sweep"
0.00000         2   0.00000         1                                        "aperm"
0.00000         2   0.00000         0                                          "aperm.default"
0.00000         1   0.00000         1                                            "order"
0.00000         1   0.00000         0                                              "unlist"
0.00000         4   0.00000         0                                    "eigen"
0.00002        29   0.00000         0                                  "ouMatrix"
0.00000         5   0.00000         0                                    "diag"
0.00000         5   0.00000         1                                      "sapply"
0.00000         5   0.00000         2                                        "simplify2array"
0.00000         4   0.00000         2                                          "unique"
0.00000         1   0.00000         0                                            "unlist"
0.00000         1   0.00000         0                                            "unique.default"
0.00000         3   0.00000         0                                  "options"
0.00000         2   0.00000         0                                  "diag"
0.00000         1   0.00000         0                                    "sapply"
0.00000         1   0.00000         0                                      "simplify2array"
0.00000         1   0.00000         1                                        "unique"
0.00000         1   0.00000         0                                          "unlist"
0.00000         1   0.00000         0                                  "is.finite"
0.00000         1   0.00000         0                                  "diag<-"
0.00000         5   0.00000         0                              ".signalSimpleWarning"
0.00000         3   0.00000         0                                "withRestarts"
0.00000         3   0.00000         0                                  "withOneRestart"
0.00000         3   0.00000         2                                    "doWithOneRestart"
0.00000         3   0.00000         1                                      "simpleWarning"
0.00000         1   0.00000         0                                        "structure"
0.00005        64   0.00000         5                            "branching.times"
0.00000         2   0.00000         0                              "which"
0.00000         2   0.00000         0                              "names<-"
0.00000         1   0.00000         0                              "numeric"
0.00003        34   0.00001         7                            "vcv.phylo"
0.00001        13   0.00001        11                              "reorder"
0.00001        12   0.00000         1                                "reorder.phylo"
0.00000         1   0.00000         0                                  "match.arg"
0.00001         7   0.00000         1                              "prop.part"
0.00000         1   0.00000         0                                ".uncompressTipLabel"
0.00001         9   0.00000         1                            "var"
0.00000         5   0.00000         4                              "stopifnot"
0.00000         4   0.00000         0                                "match.call"
0.00001         7   0.00000         0                            "runif"
0.00000         3   0.00000         0                            "print"
0.00000         1   0.00000         0                            "which"
0.07334     94615   0.00001        19                          "treedata"
0.07331     94572   0.00767      9901                            "is.vector"
0.07330     94564   0.00416      5372                              "convertTaxonFrameToGeigerData"
0.06562     84656   0.01188     15327                                "doSimulation"
0.02347     30282   0.00931     12007                                  "states"
0.01741     22464   0.00211      2726                                    "standardGeneric"
0.00811     10457   0.00599      7731                                      "loadMethod"
0.00599      7731   0.00000         0                                        "loadMethod"
0.00674      8692   0.00166      2139                                  "nextstates<-"
0.00593      7652   0.00065       837                                    "standardGeneric"
0.00329      4250   0.00052       667                                      "nextstates<-"
0.00291      3757   0.00049       628                                        "@<-"
0.00240      3090   0.00069       884                                          "slot<-"
0.00191      2462   0.00122      1578                                            "checkSlotAssignment"
0.00075       966   0.00000         0                                              "elNamed"
0.00047       612   0.00000         0                                              "getClass"
0.00098      1263   0.00071       919                                      "loadMethod"
0.00071       919   0.00000         0                                        "loadMethod"
0.00664      8566   0.00170      2194                                  "timeSinceSpeciation<-"
0.00582      7512   0.00062       798                                    "standardGeneric"
0.00309      3987   0.00044       566                                      "timeSinceSpeciation<-"
0.00273      3519   0.00047       612                                        "@<-"
0.00229      2953   0.00065       840                                          "slot<-"
0.00181      2341   0.00116      1501                                            "checkSlotAssignment"
0.00073       947   0.00000         0                                              "elNamed"
0.00043       554   0.00000         0                                              "getClass"
0.00103      1331   0.00078      1001                                      "loadMethod"
0.00078      1001   0.00000         0                                        "loadMethod"
0.00659      8504   0.00170      2189                                  "states<-"
0.00577      7444   0.00058       750                                    "standardGeneric"
